train_eps_0,train_eps_1,train_eps_2,train_eps_3,train_eps_4,train_eps_5,train_eps_6,train_eps_7,train_eps_8,train_eps_9,train_eps_10,train_eps_11,train_eps_12
-0.7289986777711104,-0.8005535413124435,-0.8207239222616006,-0.505054960334038,-0.6298043851814957,-0.9050581233053411,-0.4445795683797707,-0.8843922709545795,-0.5600579035616461,-0.569914341562476,-0.5313881568082631,-0.3193116314675973,-0.531188994465404
-0.5357353890176625,-0.7635774848311919,-0.6716918233840998,-0.700619906167248,-0.7936754370321288,-0.7285655588397437,-0.5236662433159586,-0.36599336335624716,-0.33462211680200665,-0.13043094701113941,-0.5102245054578736,-0.2566373493605134,-1.526573247671114
-0.4908352912220568,-0.3462556518410768,-0.42294654109916946,-0.3618005649749698,-0.3530713310096019,-0.3767588557157721,-0.52265150123735,-0.48714309605860917,-0.679162069622947,-0.6143998006454174,-0.6230192102318924,-0.4415105086399556,-0.673387109096074
-0.013051477178386298,-0.08076767259924117,0.07401722722673143,-0.1078272046792973,-0.09347822791806265,-0.14852291793228356,-0.21481933365267045,-0.12541980230279276,-0.1076522811019668,-0.141178756437624,-0.219703086468622,-0.4685915155313816,-0.4550869457189564
-0.17796416512947902,-0.26353568161694635,-0.2307533947431831,-0.24906000202472273,-0.247064368098138,-0.2890871357908154,-0.8189952466628951,-0.5518164811881534,-0.882461688080509,-0.7937708850969297,-0.8662255029807611,-0.5559576502584431,-0.23660465476057005
-0.1934115866925796,-0.17274248915790447,-0.10178029850503408,-0.04595841478701761,-0.23094819394552987,-0.18404709907653616,-0.17877560918597735,-0.5803284724354643,-0.33948043178974907,-0.26526665605030475,-1.014873347282388,-1.0709864144339682,-0.13882364604779282
-0.18675355259684107,0.08416615124676562,-0.17918216743669876,-0.2651492616304005,-0.1417341098729612,-0.007888540546296452,-0.2828385346158818,-0.2434499791026934,-0.07030157350107412,-0.3291112364263603,-0.12239061219282212,-0.24379232925181366,-0.3083546840786723
-0.3546714348034925,-0.3298877068376059,-0.2599496093723463,-0.364879585398911,-0.41829594148901633,-0.30038583763709525,-0.47076996263164766,-0.684406447122318,-0.23925318831929457,-0.2550213612854905,0.002462279397690087,-0.06339457906762551,-0.499415726663188
-0.13088552617572008,-0.2820646901959145,-0.271860210868192,-0.24598884696903978,-0.08756515049131547,-0.2996179571550524,-0.4328901498454742,-0.38802916076819866,-0.45684427949625145,-0.395710862713116,-0.4432519091504062,-0.6140297233550973,-0.34242742917634433
-0.21182014030115803,-0.4568799652532284,-0.26086723568446785,-0.02143194119728986,-0.31231974379630667,-0.2566543386900395,-0.11684660722739079,-0.7574550650203277,-0.493190444137732,-0.6933917816558437,-1.1019623146518014,-1.5126275737525687,-1.023786461043388
